ticker,asset_class,region,calendar_type,rows,expected_rows_calendar,missing_rate,coverage_ratio,coverage_ratio_calendar,invalid_price_count,duplicate_count,outlier_count,fx_missing_count,calendar_status,price_integrity_status,fx_status,dq_blocking,dq_reason_codes,dq_status,status
ASML,us_stock,EU,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
AVGO,us_stock,US,US_MARKET_TRADING_DAYS,4233,4235,0.0,0.866353,0.999528,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
BAC,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
BIL,bond_etf,US,US_MARKET_TRADING_DAYS,4785,4787,0.0,0.99646,0.999582,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
BNB-USD,crypto,GLOBAL,US_MARKET_TRADING_DAYS,3129,2153,0.0,1.0,1.453321,0,0,2,0,PASS,WARN,PASS,False,extreme_return_outlier_warn,WARN,WARN
BND,bond_etf,US,US_MARKET_TRADING_DAYS,4820,4822,0.0,1.003748,0.999585,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
BRK-B,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
BTAL,equity_etf,US,US_MARKET_TRADING_DAYS,3703,3706,0.0,0.75788,0.999191,0,0,1,0,PASS,WARN,PASS,False,extreme_return_outlier_warn,WARN,WARN
BTC-USD,crypto,GLOBAL,US_MARKET_TRADING_DAYS,4278,2947,0.0,1.36721,1.451646,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
COST,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
CRM,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
CVX,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
DBA,commodity_etf,US,US_MARKET_TRADING_DAYS,4884,4886,0.0,0.999591,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
DBC,commodity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
DIA,equity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
DIS,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
EDV,bond_etf,US,US_MARKET_TRADING_DAYS,4617,4619,0.0,0.961474,0.999567,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
EEM,equity_etf,GLOBAL,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
EFA,equity_etf,GLOBAL,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
ETH-USD,crypto,GLOBAL,US_MARKET_TRADING_DAYS,3129,2153,0.0,1.0,1.453321,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
EWJ,equity_etf,JP,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
EWY,equity_etf,KR,KRX_TRADING_DAYS,4886,4958,0.0,1.0,0.985478,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
FXE,fx_etf,EU,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
FXF,fx_etf,CH,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
FXI,equity_etf,CN,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
FXY,fx_etf,JP,US_MARKET_TRADING_DAYS,4858,4860,0.0,0.994269,0.999588,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
GLD,gold_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
GOOGL,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
GOVT,bond_etf,US,US_MARKET_TRADING_DAYS,3589,3592,0.0,0.747397,0.999165,0,0,0,0,PASS,PASS,PASS,False,,PASS,PASS
GS,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
GSG,commodity_etf,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
HD,us_stock,US,US_MARKET_TRADING_DAYS,4886,4888,0.0,1.0,0.999591,0,0,0,12,PASS,PASS,WARN,False,fx_missing_warn,WARN,WARN
